Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,82.739998,82.959999,82.480003,82.599998,70.734932,400800
2018-01-17,82.720001,83.580002,82.180000,83.160004,71.214500,473000
2018-01-18,83.010002,84.040001,83.010002,83.500000,71.505669,416800
2018-01-19,83.550003,84.309998,83.459999,83.510002,71.514236,338900
2018-01-22,83.800003,84.709999,83.739998,84.000000,71.933838,396700
2018-01-23,83.959999,84.269997,83.379997,83.970001,71.908157,380500
2018-01-24,84.440002,84.650002,83.730003,84.110001,72.028038,409800
2018-01-25,84.360001,84.500000,83.440002,83.720001,71.694077,310500
2018-01-26,83.870003,84.029999,83.169998,83.959999,71.899590,389300
2018-01-29,83.820000,83.849998,83.290001,83.529999,71.531364,308900
2018-01-30,83.500000,83.680000,83.070000,83.290001,71.325829,516300
2018-01-31,82.769997,82.769997,82.110001,82.309998,71.130516,381500
2018-02-01,82.250000,82.519997,81.419998,82.449997,71.251526,486900
2018-02-02,81.629997,81.959999,80.660004,80.660004,69.704636,438000
2018-02-05,79.519997,79.699997,77.320000,77.540001,67.008400,876900
2018-02-06,76.279999,78.209999,75.529999,78.040001,67.440475,967200
2018-02-07,77.989998,78.269997,77.580002,77.860001,67.284920,474100
2018-02-08,77.930000,77.930000,75.629997,75.629997,65.357803,484000
2018-02-09,75.919998,75.980003,74.129997,75.639999,65.366440,645600
2018-02-12,76.900002,76.900002,75.639999,76.430000,66.049164,385400
2018-02-13,76.360001,76.709999,75.970001,76.559998,66.161499,317500
2018-02-14,76.449997,78.239998,76.059998,77.769997,67.207146,553000
2018-02-15,78.650002,78.660004,77.680000,78.360001,67.717018,409000
2018-02-16,78.019997,78.110001,77.580002,77.690002,67.138023,413800
2018-02-20,77.379997,78.110001,77.000000,77.269997,66.775063,481400
2018-02-21,77.510002,78.860001,77.400002,78.190002,67.570107,360400
2018-02-22,78.230003,78.449997,77.440002,77.639999,67.094803,468700
2018-02-23,77.949997,78.540001,77.680000,78.480003,67.820740,345900
2018-02-26,78.680000,78.809998,78.190002,78.580002,67.907150,368500
2018-02-27,78.089996,78.120003,76.720001,76.889999,66.446678,769200
2018-02-28,77.230003,77.239998,76.000000,76.010002,65.686195,482100
2018-03-01,76.000000,76.099998,74.489998,75.169998,64.960297,609600
2018-03-02,74.500000,74.910004,74.139999,74.900002,64.726974,570400
2018-03-05,74.000000,74.669998,73.790001,74.400002,64.294884,476000
2018-03-06,75.050003,75.209999,74.690002,75.089996,64.891144,353700
2018-03-07,74.529999,75.050003,74.209999,74.849998,64.683769,281500
2018-03-08,74.919998,75.739998,74.919998,75.570000,65.305954,457600
2018-03-09,76.330002,76.519997,75.680000,76.459999,66.075089,322200
2018-03-12,76.459999,76.779999,76.099998,76.540001,66.144218,265700
2018-03-13,76.599998,76.769997,75.550003,75.610001,65.340530,332800
2018-03-14,76.059998,76.339996,75.809998,75.959999,65.642990,394700
2018-03-15,75.930000,76.040001,75.410004,75.529999,65.271393,317200
2018-03-16,75.570000,76.010002,75.389999,75.410004,65.167686,381400
2018-03-19,75.449997,75.779999,75.010002,75.370003,65.133133,408100
2018-03-20,75.430000,76.029999,75.290001,75.900002,65.591133,423200
2018-03-21,76.230003,77.410004,76.230003,77.089996,66.619522,591300
2018-03-22,76.519997,76.870003,75.570000,75.839996,65.539291,615800
2018-03-23,76.129997,76.519997,75.040001,75.239998,65.020767,664700
2018-03-26,75.769997,76.070000,75.300003,75.519997,65.262749,408200
2018-03-27,75.699997,75.699997,74.519997,74.830002,64.666473,431900
2018-03-28,74.379997,75.389999,74.250000,74.660004,64.519554,425600
2018-03-29,75.239998,75.669998,74.830002,75.570000,65.305954,312100
2018-04-02,75.570000,75.599998,74.209999,74.839996,64.675110,465700
2018-04-03,75.370003,75.580002,74.519997,75.120003,64.917076,474700
2018-04-04,74.470001,75.309998,73.790001,75.129997,64.925720,517900
2018-04-05,75.529999,76.220001,75.250000,76.139999,65.798538,433400
2018-04-06,75.519997,76.180000,75.070000,75.470001,65.219536,492500
2018-04-09,75.809998,76.599998,75.309998,76.150002,65.807175,401000
2018-04-10,77.000000,77.040001,76.300003,76.370003,65.997307,360500
